full_text,case_folding CPMK2,preprocessing CPMK3,label
malem jumat niatnya yasinan terus sbelah gue afk fish allah ridhoilah secret utk aku malem ini,malem jumat niatnya yasinan terus sbelah gue afk fish allah ridhoilah secret utk aku malem ini,malem jumat niat yasinan sbelah away from keyboard allah ridhoilah secret malem,nan
baru dipake berapa lama kalau sehari berharap apa sender fish kan sistemnya random,baru dipake berapa lama kalau sehari berharap apa sender fish kan sistemnya random,dipake hari harap sistem random,positive
gue sudah gila fish banget,gue sudah gila fish banget,gila,negative
kecintaan sama fish https //t.co/ezfph7nfm1,kecintaan sama fish https //t.co/ezfph7nfm1,cinta ezfph nfm,positive
billetdouxx fish chiwa maaf pemula,billetdouxx fish chiwa maaf pemula,billetdouxx chiwa maaf mula,nan
tergila-gila fish baru main sehari level sudah mau capai aja,tergila-gila fish baru main sehari level sudah mau capai aja,gila gila main hari level capai,nan
bodoh banget afk fish nyampe tidak ngeh abis batre,bodoh banget afk fish nyampe tidak ngeh abis batre,bodoh away from keyboard nyampe ngeh habis batre,negative
donughwa masih mutual tidak sih bang nama gue yang maki .vlaash gue perhatiin abang main fish teruss,donughwa masih mutual tidak sih bang nama gue yang maki .vlaash gue perhatiin abang main fish teruss,donughwa mutual nama maki vlaash perhatiin abang main teruss,nan
lemonionc aku maen fish ikut2n doang kak tertawa terus seringnya aku diajakin ngekos isle terus tau2 dpt sotong disitu sama ikan2 mitos aku tidak ngeh ada deepsea quest itu tertawa tau2 sisa quest yang belum 100,lemonionc aku maen fish ikut2n doang kak tertawa terus seringnya aku diajakin ngekos isle terus tau2 dpt sotong disitu sama ikan2 mitos aku tidak ngeh ada deepsea quest itu tertawa tau2 sisa quest yang belum 100,lemonionc main tawa diajakin ngekos isle sotong situ ikan mitos ngeh deepsea quest tawa sisa quest,nan
jepo akan kembali menjadi rakyat biasa yang nonton drakor pensiun fish https //t.co/ubhmklmwkh,jepo akan kembali menjadi rakyat biasa yang nonton drakor pensiun fish https //t.co/ubhmklmwkh,jepo rakyat nonton drakor pensiun ubhmklmwkh,nan
ini kayaknya cuma map fish doang fitur chat public tidak boleh dipake buat yapping tertawa https //t.co/zhykyzpgrj,ini kayaknya cuma map fish doang fitur chat public tidak boleh dipake buat yapping tertawa https //t.co/zhykyzpgrj,kayak map fitur chat public dipake yapping tawa zhykyzpgrj,nan
aku kayanya ketinggalan banget fish,aku kayanya ketinggalan banget fish,kaya tinggal,nan
when secret mancing gila emang ini fish https //t.co/0pdpufndog,when secret mancing gila emang ini fish https //t.co/0pdpufndog,when secret pancing gila pdpufndog,negative
wavetoama tidak tau aku tidak main fish maafij gue,wavetoama tidak tau aku tidak main fish maafij gue,wavetoama main maafij,nan
a-aku main fish lagi,a-aku main fish lagi,main,nan
hari hari liat org fish date cuman bagian wenyes ajalh,hari hari liat org fish date cuman bagian wenyes ajalh,lihat orang date wenyes ajalh,nan
wavetoama secret ancient fish sebenernya dimsum mentai soalnya ada udang,wavetoama secret ancient fish sebenernya dimsum mentai soalnya ada udang,wavetoama secret ancient sebenernya dimsum mentai udang,nan
talon babi ini game namanya fish babi bukan batu rock dan lain lainkau gila aja mancing batu mancing secret gue disini selama sehari lebih jam sial https //t.co/9fiy6jhylt,talon babi ini game namanya fish babi bukan batu rock dan lain lainkau gila aja mancing batu mancing secret gue disini selama sehari lebih jam sial https //t.co/9fiy6jhylt,talon babi game nama babi batu rock lainkau gila pancing batu pancing secret hari jam sial fiy jhylt,negative
sorrygaaklevel ogaah temen fish gue aja pada make nama clan gitu depan namanya gue kgk mau ikutan disuruh ganti gue juga kgk mau tertawa aneh anjing kalau gue pas masih baru lulus sama sih kyknya masih gue iyain,sorrygaaklevel ogaah temen fish gue aja pada make nama clan gitu depan namanya gue kgk mau ikutan disuruh ganti gue juga kgk mau tertawa aneh anjing kalau gue pas masih baru lulus sama sih kyknya masih gue iyain,sorrygaaklevel ogaah teman make nama clan nama kgk ikut suruh ganti kgk tawa aneh lulus kyknya iyain,nan
fian_dund2 belum katanya kak baru tau ternyata fish lagi gabisa trade,fian_dund2 belum katanya kak baru tau ternyata fish lagi gabisa trade,fian dund tidak bisa trade,nan
roblox ada yang mau join serfer dece buat main bareng sama fish sering yapping kita welcome banget new memberr reply kalau minat,roblox ada yang mau join serfer dece buat main bareng sama fish sering yapping kita welcome banget new memberr reply kalau minat,roblox join serfer discord main bareng yapping welcome new member reply minat,positive
dinohamsko dari dcnya fish kak,dinohamsko dari dcnya fish kak,dinohamsko dcnya,nan
ofheartloom hel0verse gapapa fish tidak beruntung semoga sini beruntung,ofheartloom hel0verse gapapa fish tidak beruntung semoga sini beruntung,ofheartloom hel verse gapapa untung untung,neutral
psikis anak fish sudah kenaa,psikis anak fish sudah kenaa,psikis anak kenaa,negative
sial gue trauma ama suara pancingan fish,sial gue trauma ama suara pancingan fish,sial trauma ama suara pancing,negative
pomppurlin memang susaah jika fish ayi mau digimanain pun juga sistemnya random memang harus mengandalkan beruntung,pomppurlin memang susaah jika fish ayi mau digimanain pun juga sistemnya random memang harus mengandalkan beruntung,pomppurlin susaah ayi digimanain sistem random andal untung,neutral
namanyajugalea hpus aja fish,namanyajugalea hpus aja fish,namanyajugalea hpus,negative
ini fish kapan ngeluarin setruman pengen gue setrum aja ini lost isle sudah gapercaya gue sama pancingan anjj,ini fish kapan ngeluarin setruman pengen gue setrum aja ini lost isle sudah gapercaya gue sama pancingan anjj,ngeluarin setrum ken setrum lost isle gapercaya pancing anjj,negative
bruisedshinyu takut keracunan tapi kalau mau kasih hiu fish aku terima sih aku belum punya hiu,bruisedshinyu takut keracunan tapi kalau mau kasih hiu fish aku terima sih aku belum punya hiu,bruisedshinyu takut racun hiu terima hiu,nan
playwithmoy sumpah tenggelam sama random minta add fish anjing wait aku terima trus nyusull,playwithmoy sumpah tenggelam sama random minta add fish anjing wait aku terima trus nyusull,playwithmoy sumpah tenggelam random add wait terima trus nyusull,nan
veechra talonmidnight kasih dia secret atau aku hancurkan fish,veechra talonmidnight kasih dia secret atau aku hancurkan fish,veechra talonmidnight secret hancur,nan
guis aku pemula jadi nelayan kalau nyari koin fish gacor dimana,guis aku pemula jadi nelayan kalau nyari koin fish gacor dimana,guis mula nelayan cari koin gacor,nan
ngeliat para sepuh fish membuat jiwa iri dengki aku keluar tidak pernah sepengen ini dapett sikriitt https //t.co/g8cz5fgbku,ngeliat para sepuh fish membuat jiwa iri dengki aku keluar tidak pernah sepengen ini dapett sikriitt https //t.co/g8cz5fgbku,ngeliat sepuh jiwa iri dengki ken dapett sikriitt fgbku,nan
main mancing alias fish fish itu bukannya relax malah stres gitu mana tidak naik-naik itu secret huh semenjak kenal fish jadi makin iri dengkii =__=,main mancing alias fish fish itu bukannya relax malah stres gitu mana tidak naik-naik itu secret huh semenjak kenal fish jadi makin iri dengkii =__=,main pancing alias relax stres secret huh semenjak kenal iri dengki,negative
roblox fish katanya sudah fix permanen gabisa trade lagi,roblox fish katanya sudah fix permanen gabisa trade lagi,roblox fix permanen tidak bisa trade,nan
roblox sudah stres mancing fish sender beralih mancing gunung aja https //t.co/pdbufdwhqu,roblox sudah stres mancing fish sender beralih mancing gunung aja https //t.co/pdbufdwhqu,roblox stres pancing alih pancing gunung pdbufdwhqu,negative
fish ini bikin gilaa ajgg rill,fish ini bikin gilaa ajgg rill,gilaa ajgg real,negative
fish uda bisa trade,fish uda bisa trade,trade,nan
sudah ditahap mimpiin fish https //t.co/uoijzqcmoh,sudah ditahap mimpiin fish https //t.co/uoijzqcmoh,tahap mimpiin uoijzqcmoh,nan
k1ssmee__ alhamdulillah karena aku lama tidak bka fish keknya talon mulai melunak dikit,k1ssmee__ alhamdulillah karena aku lama tidak bka fish keknya talon mulai melunak dikit,ssmee alhamdulillah bka kayak talon lunak dikit,positive
yang sudah males mancing fish bagi secret dong mau buat meleburkan batu enchant biar bisa double enchant,yang sudah males mancing fish bagi secret dong mau buat meleburkan batu enchant biar bisa double enchant,malas pancing secret lebur batu enchant double enchant,nan
ini btw adek aku fish dia emang anaknya kalem sopan dan lucu,ini btw adek aku fish dia emang anaknya kalem sopan dan lucu,adek anak kalem sopan lucu,positive
