content,score,app,content_clean
𝐛𝐚𝐠𝐮𝐬,5,gopay,
sangat membantu,4,gopay,sangat bantu
kepake banget good job,5,gopay,kepake banget good
bagus banget sangat membantu,5,gopay,bagus banget sangat bantu
aplikasi baik👍👍,5,gopay,baik
aplikasi ini sagan saya anjurkan di pakek apapun bisaaa apalagi banyak diskon nya untuk keramahan dompet 😁,5,gopay,sagan anjur pakai apa banyak diskon ramah dompet
sangat bagus,5,gopay,sangat bagus
mantap transaksinya.....cepat,5,gopay,bagus transaksinyacepat
sangat bagus mantap luar biasa,5,gopay,sangat bagus bagus luar biasa
sangat bagus,5,gopay,sangat bagus
gopay memang beda👍,5,gopay,memang beda
mantap,5,gopay,bagus
transaksi selalu lancar👍,5,gopay,transaksi selalu lancar
APLIKASI TOLOL UDH SERING PINJAMAN N BAYAR TEPAT WAKTU HARI INI NGAJUIN D TOLAK.,1,gopay,buruk sering pinjam bayar tepat waktu hari aju tolak
bagus sekali,5,gopay,bagus sekali
apk nya si bagus tapi harus upgrade ke premium buat yang masih pelajar atau yang masih dibawah umur tidak bisa buat transfer,2,gopay,bagus upgrade premium buat ajar bawah umur buat transfer
kerennnnnn,5,gopay,keren
kita kasih bintang 5 walaupun baru belajar,5,gopay,kasih bintang walaupun baru ajar
sangat baik dan bermanfaat,5,gopay,sangat baik manfaat
"GoPay sangat membantu dlm mempercepat dan memudahkan kebutuhan yg kita butuhkan,makasih gopay semoga sukses selalu.",5,gopay,sangat bantu cepat mudah butuh butuhkanmakasih moga sukses selalu
sangat membantu.,5,gopay,sangat bantu
masih mencoba,4,gopay,coba
"gobIok nih gopay, mau TRX aja gak bisa katanya ada aktifitas gak normal, padahal itu gara gara gagal transaksi karena sinyall!!! toIoI!!!! sinyal gua jelek jadinya gagal, pas coba lagi malah ada aktifitas gak normal!! cs nya gak jawab lagi udah gua kirim foto nya",1,gopay,gobiok kata aktifitas normal gagal transaksi sinyal toioi sinyal jelek jadi gagal coba malah aktifitas normal customer service jawab kirim foto
sangat membantu sekali,5,gopay,sangat bantu sekali
"Sangat mudah prosesnya, banyak manfaatnya",5,gopay,sangat mudah proses banyak manfaat
rusakkkk cooookkkkkkkkkk,1,gopay,rusak cooook
"sangat membantu lohh, senang banget",5,gopay,sangat bantu senang banget
"aplikasi aneh, beda jauh sama Dana ,semoga kedepan nya bisa lebih baik lg. dari segi gopay pinjam maupun transfer suka error enggk jelas",1,gopay,aneh beda jauh sama moga depan lebih baik segi pinjam maupun transfer suka error enggk jelas
perfect,5,gopay,perfect
mudah dan cepat,5,gopay,mudah cepat
"komplain cashback, tiba tiba kena blokir akun nya",1,gopay,komplain cashback tiba tiba kena blokir akun
ok,5,gopay,
setelah update malah tidak bisa dibuka .giliran udah bisa dibuka malah gabisa konfirmasi pembayaran! untuk pengguna android jadul jd bermasalah !,2,gopay,update malah buka gilir buka malah konfirmasi bayar guna android jadul masalah
sangat bagus,5,gopay,sangat bagus
"woy kenapa gua ga bisa masuk akun ku sendiri abis riset HP, masuk gopay nomer+pin bisa eh muka ga bisa udah bercahaya+ga pake masker. kenapa ga bisa ada saldo gua itu 10rwbu lumayan buat beli paket et dah kenapa ya benerin lah itu, masa w g bisa masuk akun w sendiri bagaimana itu",4,gopay,masuk akun sendiri habis riset masuk nomor pinjam muka bercahayaga pakai masker saldo rwbu lumayan buat beli paket benerin masa masuk akun sendiri
mudah dalam bertransakai,5,gopay,mudah bertransakai
mantap,5,gopay,bagus
"kenapa notif kok masih masuk email yang lama, padahal sudah di perbarui email yang baru mohon di bantu terima kasih",5,gopay,notif masuk email lama baru email baru mohon bantu terima kasih
baik,5,gopay,baik
"Pembayaran Gopaylater nya lancar, tapi Akun direview dan limit di blokir, GOpaylater = GO-block !!!!!",1,gopay,bayar gopaylater lancar akun direview limit blokir gopaylater goblock
"saya TLP gak pernah bisa ke nomor 1500729 ditlpn gak bisa,,saya mau masuk aplikasi gak bisa masuk masuk vermuk mukanya gagal terus, tolong dibantu",5,gopay,pernah nomor ditlpn bisasaya masuk masuk masuk buruk muka gagal terus bantu
Nice,5,gopay,nice
"mulai tambah fitur, pembayaran lanjay",3,gopay,mulai tambah fitur bayar lanjay
ga bisa login,1,gopay,login
gopay pinjam sblmnya bisa dipke tp tiba2 skrg ditolak ga tau knp pdahal tepat waktu terus malah percepat terus,4,gopay,pinjam sblmnya dipke tiba skrg tolak pdahal tepat waktu terus malah cepat terus
Ok transaksi menjadi lebih mudah via Gopay,5,gopay,transaksi jadi lebih mudah
terbaik,5,gopay,baik
OK,5,gopay,
good,5,gopay,good
👍,5,gopay,
",👍👍",1,gopay,
sangat m mabantu dalam transaksi,5,gopay,sangat mabantu transaksi
aman,5,gopay,aman
good Luck Ya. 👍🥰👍,5,gopay,good luck
sangat menyayangkan,5,gopay,sangat sayang
good,5,gopay,good
dapat digunakan pembayaran yg valid,5,gopay,guna bayar valid
sangat bagus,5,gopay,sangat bagus
haru BSA amanah,5,gopay,haru amanah
Mantappp banget,5,gopay,bagus banget
Sangat berguna dan bermanfaat,5,gopay,sangat guna manfaat
sangat memuaskan,5,gopay,sangat puas
top,5,gopay,
transaksi sering bermasalah...tlong diperbaiki lagi sistem nya,1,gopay,transaksi sering bermasalahtlong baik sistem
diskon wdp nya palsu gak ada yang bisa kepakai,1,gopay,diskon palsu pakai
mantap,5,gopay,bagus
memuaskan,5,gopay,puas
senang,5,gopay,senang
aplikasinya bagus gak ribet,5,gopay,aplikasi bagus rumit
yaaa bagusss sihhh,4,gopay,bagus
makasih kesbek nya,5,gopay,makasih kesbek
nice,4,gopay,nice
"Data privacy tidak aman, harusnya bisa memotong otomatis saldo gopay jika ada pinjaman jadi kalau terlewat proses pembayaran tidak di chat WA pihak ke 3 denga banyak no",1,gopay,data privacy aman harus potong otomatis saldo pinjam jadi kalau lewat proses bayar chat pihak denga banyak
jangan sekali kali mengajukan pinjaman di Gopay kalau tidak mau di spam telpon nomor baru,1,gopay,jangan sekali sering aju pinjam kalau spam telpon nomor baru
70th grade,3,gopay,grade
mantapp kapan aja bisa transaksi,5,gopay,bagus kapan transaksi
gopay mantap....,5,gopay,bagus
membatu bangettt sukaaaaaa,5,gopay,batu banget suka
qris ga bisa di pake,1,gopay,qris pakai
"mantap transaksi jd semakin mudah,,perbyak lg fitur2 promo dan hadiah,satu lg klo bs beri dong REWARD utk pengguna GoPay yg rutin bertransaksi,,??? utk saat ini blom ada kendala yg srius dari bertransaksi,,utk keseluruhan udh bgus 👍..mksi GoPay🙏,,prbyk lg ide2,inovasi dan kreatifitasx agar GoPay smkin menarik dan jd pembayaran elektronik no 1 di kelasx,,👍🙏👌",5,gopay,bagus transaksi makin mudahperbyak fitur promo hadiahsatu beri reward guna rutin transaksi blom kendala srius bertransaksiutk seluruh bagus mksi gopayprbyk ideinovasi kreatifitasx smkin tarik bayar elektronik kelasx
mantap terusdan tinkatkan pelayanan👍,4,gopay,bagus terusdan tinkatkan layan
"mudah,aman dan nyaman",5,gopay,mudah aman aman
"sementara okey,,",4,gopay,bagus
mantap,5,gopay,bagus
isthebest,5,gopay,isthebest
sangat membantu,5,gopay,sangat bantu
oke br coba bos 😁👍👍,4,gopay,coba
prosesnya cepat 👍,4,gopay,proses cepat
tidak bisa login terus,1,gopay,login terus
terima kasih,5,gopay,terima kasih
Bagus apk nya,5,gopay,bagus
GOOD,5,gopay,good
"Fitur"" yg di tawar kan variatif",5,gopay,fitur tawar variatif
"Bagus sangat membantu. Tingkatkan lagi layanan paket kuota murah. gopay memang top banget, memudahkan saya waktu bekerja",5,gopay,bagus sangat bantu tingkat layan paket kuota murah memang banget mudah waktu kerja
ok,4,gopay,
nice,5,gopay,nice
mantaap,5,gopay,mantaap
ok mantul,5,gopay,bagus
good job,5,gopay,good
"mantap sih, tapi kadangg aga susah kalo mau trasfer klo belum premium, semoga aja di permudah",5,gopay,bagus kadang susah kalo trasfer premium moga mudah
"gw udh gunakan cash back 100% dikembalikan uangnya malah di potong, terus sama gw lapor malah di tolak,apk macam apa ini",1,gopay,guna cash back kembali uang malah potong terus sama lapor malah tolakapk macam
sangat bagus,5,gopay,sangat bagus
"Download gopay cuman biar bisa bayar tagihan di MyTelkomsel wkwkwkkwkwk, apknya bagus mudah banget lagi kalau mau topup, the best emang",5,gopay,download cuman biar bayar tagih mytelkomsel wkwkwkkwkwk bagus mudah banget kalau best memang
bagus,5,gopay,bagus
saya coba 👍,4,gopay,coba
wow,5,gopay,
gacor,5,gopay,gacor
bagus,4,gopay,bagus
sangat bagus,5,gopay,sangat bagus
Blm tau baru dicoba,4,gopay,baru coba
ydh bgs intiny. 😛,5,gopay,inti
apk gopay apk abl Abal masa sudah di premiumkan pake KTP cuman seminggu suruh peripikasi lagih perbaiki sistem nya ko lucu jadi hawatir apk belum resmi ini hati hati kawann,1,gopay,abal masa premium pakai cuman minggu suruh peripikasi lagih baik sistem lucu jadi hawatir resmi hati hati kawan
bagus,5,gopay,bagus
yey,5,gopay,
menari,5,gopay,tari
sangat bagus dan harga sesuai kantong pelajar,5,gopay,sangat bagus harga sesuai kantong ajar
ntabb,5,gopay,bagus
pakai gopay cus mantap langsung lancar transaksinya...good banget.,5,gopay,pakai bagus cepat lancar transaksinyagood banget
good,5,gopay,good
aplikasi top up ff,5,gopay,
cara akses daftar nya cepat dan akurat,5,gopay,cara akses daftar cepat akurat
mantap,5,gopay,bagus
"cicilan udh lunas,tpi knp di blokir gopay laternya.. auto uninstal nih APK.. samapi saat ini limit gopay later masih dblokir.. apk gak JELAS👎👎",1,gopay,cicil lunastpi blokir laternya auto uninstal samapi limit later dblokir jelas
Qo ga bisa masuk ea bosqu suruh install terus,5,gopay,masuk bosqu suruh instal terus
dapat nya banyak banget bisa top up game bisa top up aja dan lain lain,5,gopay,banyak banget game
baguss,5,gopay,bagus
sangat baik,1,gopay,sangat baik
bagus,5,gopay,bagus
mantap sih ini,5,gopay,bagus
👌👍👍,5,gopay,
apk nya bagus,5,gopay,bagus
no sudah terdaftar tapi gak bisa log in sudah top up 1jt,4,gopay,daftar
"saya kasih bintang 5,tolong dong ada perbaikan sedikit soal transaksi,saya topup google pay sudah selesai transaksi tapi tidak dapat kode untuk isikan di google pay,tolong diperbaiki saldo saya kepotong tapi tidak dapat apa apa,tolong direspon admin😭🙏🙏🙏",5,gopay,kasih bintang baik sedikit soal transaksisaya google selesai transaksi kode isi google paytolong baik saldo potong apatolong direspon admin
"E Wallet Nomor Satu Dan Paling Rekomendasi Adalah GOPAY. Banyak Bonus Tambahan Saldo Dari GOPAY COINS Sangat Bermanfaat. Banyak Nya Permainan Berhadiah Di GOPAY Tidak Mempengaruhi Penyimpanan Memory Handphone Dan Ketika Di Mainkan Tidak Ngelag. Penyimpanan Memory Handphone Sangat Ringan. GOPAY Juga Dalam Bertransaksi Sangat Cepat Dan Tidak Pernah Gagal. MANTAAAPPP JIWAAA. Download Dan Pakai GOPAY Sekarang Di Jamin 100% Happy. Nilai Tertinggi Untuk GOPAY Dan BINTANG 5 Untuk GOPAY. OK, MANTAAPPP.",5,gopay,wallet nomor satu paling rekomendasi banyak bonus tambah saldo coins sangat manfaat banyak main hadiah pengaruh simpan memory handphone main simpan memory handphone sangat ringan transaksi sangat cepat pernah gagal mantaaap jiwa download pakai sekarang jamin happy nilai tinggi bintang mantaap
mantap,5,gopay,bagus
keren,5,gopay,keren
aplikasi makin kesini kok makin berat aja.,5,gopay,makin kesini makin berat
aplikasinya bagus,5,gopay,aplikasi bagus
Thr 10jt dong min🥰,5,gopay,
ok,5,gopay,
terima kasih APK GOPAY selama 3 tahun ini saya memakainya sangat mudah dan lancar dan uang saya aman dan tidak ada pencurian uang melalui sepihak .mantaaaaaaabbb,5,gopay,terima kasih lama tahun maka sangat mudah lancar uang aman curi uang lalu pihak mantaaaaaaab
setiap tf ke gopay jumlah ganjil selalu yg di terima genap saldo ny kemana korupsi anj?,1,gopay,jumlah ganjil selalu terima genap saldo korupsi
sangat baik,5,gopay,sangat baik
"kenapa tidak bisa login karna nomer hp hilang,padahal sudah upgrade gopay + ...masih tidak bisa login",1,gopay,login nomor hilangpadahal upgrade login
sangat membantu,5,gopay,sangat bantu
ok,5,gopay,
BAGUUSS BGT !!,5,gopay,baguus banget
ok,5,gopay,
ditolak pengajuan gopay pinjam,3,gopay,tolak aju pinjam
mantap,5,gopay,bagus
siip,5,gopay,siip
bagus,5,gopay,bagus
sangat membantu,5,gopay,sangat bantu
mau coba aplikasi gopay,4,gopay,coba
saya isi saldo udah seminggu ga masuk di gopay saya itu kemana duitnya?? gimana nih minta bantuan di email sama aja ga ada hasil itu saldo larinya kemana??,1,gopay,saldo minggu masuk duit minta bantu email sama hasil saldo lari
mntap,4,gopay,bagus
gopay bagus sekali,5,gopay,bagus sekali
sangat bagus 👍😍,5,gopay,sangat bagus
Bagus,5,gopay,bagus
keren,4,gopay,keren
"apk ga dibenerin bug nya dikit2 server eror pdhl jaringan bagus2 aja, benerin dulu bug nya",1,gopay,dibenerin dikit server error pdhl jaring bagus benerin
"GopayDompetOkeBanget, AyoGabung",5,gopay,gopaydompetokebanget ayogabung
ga bisa pinjam,2,gopay,pinjam
"di perbaiki lagi, terkadang saldo nya lama masuk",4,gopay,baik kadang saldo lama masuk
"termurah kata nya,, padahal sama aja kyak yang lain dikit"" pakai biaya top up biaya admin naik terus hadeehh",1,gopay,murah kata sama kyak dikit pakai biaya biaya admin naik terus hadeeh
bagi saya aplikasi ini sangat membantu untuk memudahkan aktivitas saya sehari-hari,5,gopay,sangat bantu mudah aktivitas seharihari
Jagan buat saya kecewa,3,gopay,jagan buat kecewa
terbaik,5,gopay,baik
mntapppp,5,gopay,bagus
sangat sangat very goood,5,gopay,sangat sangat very goood
baik banget,5,gopay,baik banget
perfect,5,gopay,perfect
saya suka dengan aplikasi ini transaksi gratis dan dapat koin di gopay,5,gopay,suka transaksi gratis koin
bagus banget dan gampang buat semuanya 👍,5,gopay,bagus banget gampang buat semua
bagus bgt dan menghematkan pengeluaran,5,gopay,bagus banget hemat keluar
"praktis ngak ribet klo mau transfer, atau top up",5,gopay,praktis rumit transfer
Good Apps,5,gopay,good
kenapa rubik merah tidak dapat digunakan (berkurang) dan tidak bisa buat main game,2,gopay,rubik merah guna kurang buat main game
terimakasih sdh banyak membantu saya,5,gopay,terimakasih banyak bantu
mantappp,5,gopay,bagus
bagus,5,gopay,bagus
gimana nih bos sampe saat ini apk gopay nya gak bisa dibuka sebelumya normal2 ajah setelah di update malah gak bisa dibuka,2,gopay,sampai buka sebelumya normal ajah update malah buka
amat sangat membantu,5,gopay,sangat bantu
mantapp,5,gopay,bagus
🅑🅐🅖🅤🅢,5,gopay,
bagus,5,gopay,bagus
Next Untuk Top Up Tambahin War Thunder mobile ya!,5,gopay,next tambahin thunder mobile
tolong dong aktifkan fitur paylater saya,5,gopay,aktif fitur paylater
bagus 👍,5,gopay,bagus
oke,5,gopay,
GO PAY MEMENG PILIHAN TERBAIK,5,gopay,memeng pilih baik
bagus,5,gopay,bagus
keren,4,gopay,keren
aqya sukaaaa,5,gopay,aqya suka
tiba' nge sedot sldo,1,gopay,tiba sedot sldo
mantap jooss,5,gopay,bagus joos
"bisa dipakai untuk membayar transportasi, dan mudah digunakan krn ada qris yang tersedia",5,gopay,pakai bayar transportasi mudah guna qris sedia
"Binggung saya benar-benar yah, sudah melalui email pengaduan tapi tetep aja ngarahin nya ke mesin ATM mandiri buat cek saldo e-money, padahal saya gak pakai bank mandiri. isi Saldo di platform lain aman-aman aja langsung masuk, ini sampe berhari-hari pun ga ada kejelasan, bilang mau di refund tapi ga masuk saldo nya. tolong dong masa uang 50rb ini mesti hangus 😌",1,gopay,binggung benarbenar lalu email adu ngarahin mesin mandiri buat saldo emoney pakai bank mandiri saldo platform amanaman cepat masuk sampai berharihari jelas bilang refund masuk saldo masa uang mesti hangus
gopay mantap,5,gopay,bagus
kena biaya admin 3500 😭,4,gopay,kena biaya admin
membantu,5,gopay,bantu
mantap,5,gopay,bagus
mantap dech baru prtama pake..smoga ke depan makin lancar,5,gopay,bagus dech baru prtama pakesmoga depan makin lancar
kon gopay nya ga masuk² padahal udh sukses di klaim nya,1,gopay,masuk sukses klaim
baik,5,gopay,baik
"pelayanan cepat dan akurat, sangat rekomendasi beli disini. sangat suka tampilan dari gopay sederhana dan modern.",5,gopay,layan cepat akurat sangat rekomendasi beli sini sangat suka tampil sederhana modern
"aplikasi ga bener uang masa bisa topap ke gopay tabungan jago tampa kopi masi dan uang nya ga masuk ke tabungan jago, di komplain tetep ga balik lagi uang nya bukan sekali atau 2 kali sering emang ga amanah gopay nih😡😡",1,gopay,bener uang masa topap tabung jago tampa kopi mas uang masuk tabung jago komplain balik uang bukan sekali sering sering memang amanah
aplikasi nya bagus tetapi saya tidak punya. uang mohon di tambah kan gratis di kasih 60 Rp kalo boleh mohon ya terimakasih kalo di berikan,5,gopay,bagus punya uang mohon tambah gratis kasih kalo mohon terimakasih kalo ikan
ok,5,gopay,
sangant puas,5,gopay,sangant puas
lumayan,2,gopay,lumayan
"sllu puas, meski aku langganan beli paket Telkomsel Disini semakin mahal dan GK pernh ada promo lagi itu aja sih yang disesalkan",5,gopay,sllu puas meski langgan beli paket telkomsel sini makin mahal pernh promo sesal
hanya bisa bilang the best,5,gopay,bilang best
sangat baik,5,gopay,sangat baik
mantap,5,gopay,bagus
gopay sangat membantu saya dam administrasi makasi gopay,5,gopay,sangat bantu administrasi makas
bagus,5,gopay,bagus
knp gk bsa melakukan Quris,1,gopay,laku quris
sangat bagus aplikasi gopay,5,gopay,sangat bagus
sangat mudah digunakan,5,gopay,sangat mudah guna
"Semoga kedepannya tambah banyak fitur""nya",5,gopay,moga depan tambah banyak fitur
terimakasih,2,gopay,terimakasih
Pakai gopay mantap,5,gopay,pakai bagus
kecewa karna tidak bisa mengajukan pinjaman ..dgn alasan skor kredit tidak memadai..padahal aku pake gopay ini udah lama,1,gopay,kecewa aju pinjam alas skor kredit memadaipadahal pakai lama
saya kirim saldo ke akun dana tapi saldo nya belom masuk masuk,1,gopay,kirim saldo akun saldo masuk masuk
sangat baik,5,gopay,sangat baik
iklan ngen,1,gopay,iklan ngen
sangat bagus sangat puas terus diperbaiki dan selalu perbarui apapun itu sukses terus,5,gopay,sangat bagus sangat puas terus baik selalu baru apa sukses terus
luar biasa,5,gopay,luar biasa
mudah penggunaannya dan cepat,5,gopay,mudah guna cepat
pelayanan menyelesaikan masalah kurang .... saya melakukan transaksi membeli diamond mobile legend melalui gopay padahal transaksi berhasil tapi diamond mobile legend saya tidak masuk!!!!!!!,1,gopay,layan selesai masalah kurang laku transaksi beli diamond mobile legend lalu transaksi hasil diamond mobile legend masuk
bagus bgt,5,gopay,bagus banget
Sangat bagus. mudah digunakan.,5,gopay,sangat bagus mudah guna
ok,4,gopay,
Biar bintang⭐ yang berbicara,5,gopay,biar bintang bicara
halo pihak developer gopay yang terhormat akun gopay saya mengalami aktivitas tidak wajar dengan id:(pinjaman dana) tolong bantu secepatnya agar akun gopay saya kembali normal Terima kasih.,5,gopay,halo pihak developer hormat akun alami aktivitas wajar idpinjaman bantu cepat akun normal terima kasih
aku suka,4,gopay,suka
baik,4,gopay,baik
saya suka gopay,5,gopay,suka
baik,5,gopay,baik
keren,5,gopay,keren
mantap 👍,5,gopay,bagus
bagus.,3,gopay,bagus
mantap,5,gopay,bagus
puas banget terima kasih,5,gopay,puas banget terima kasih
"terlalu banyak muncul di layar hp sebagai iklan saya tidak suka itu, karena terlalu mengganggu",1,gopay,terlalu banyak muncul layar iklan suka terlalu ganggu
"sangat cepat untuk semua transaksi, dan terjamin ke amanan saldo dan data,",5,gopay,sangat cepat semua transaksi jamin aman saldo data
nice nice,5,gopay,nice nice
mantap,5,gopay,bagus
sudah pernah melakukan pengajuan gopay pinjam dan sudah melunasi tagihan dan ingin melakukan pencarian lagi tapi di tolak,1,gopay,pernah laku aju pinjam lunas tagih laku cari tolak
mantap,5,gopay,bagus
"aplikasi yang ringan & akurat , simpel dan cocok untuk semua kalangan. thx-GoPay",5,gopay,ringan akurat simpel cocok semua kalang thxgopay
sangat terpercaya,5,gopay,sangat percaya
Enak dan praktis,5,gopay,enak praktis
berguna banget aplikasi nya membantu saya bertransaksi lebih mudah,5,gopay,guna banget bantu transaksi lebih mudah
Good job👍,5,gopay,good
kenapa sering ditolak menggunakan my Pertamina?,2,gopay,sering tolak pertamina
apk sangat baik dan berguna mantapppppp👌,5,gopay,sangat baik guna bagus
bagus banget,5,gopay,bagus banget
bisa diandelin,5,gopay,diandelin
sgt berguna,5,gopay,guna
lumayan buat nambah penghasilan,4,gopay,lumayan buat nambah hasil
bagus,5,gopay,bagus
baguss,5,gopay,bagus
mantab,5,gopay,bagus
gokil,5,gopay,gokil
mantap,5,gopay,bagus
👍👍,5,gopay,
mantap,5,gopay,bagus
ga ribet,5,gopay,rumit
keren !!,5,gopay,keren
terimakasih aku suka ink,5,gopay,terimakasih suka
sangat nyaman,4,gopay,sangat aman
mantap,5,gopay,bagus
realgood,5,gopay,realgood
mantap,5,gopay,bagus
mantab,5,gopay,bagus
sangat baik,5,gopay,sangat baik
kenapa tidak bisa dibuka,1,gopay,buka
Gopay membantu saya,4,gopay,bantu
aplikasi nd jelas,1,gopay,jelas
sangat bagus,5,gopay,sangat bagus
rekomendasi sangat memuaskan,5,gopay,rekomendasi sangat puas
mempermudah belanja di marketplace,5,gopay,mudah belanja marketplace
Sangat membantu,5,gopay,sangat bantu
ok,5,gopay,
bagus benget,4,gopay,bagus benget
"Pusat Bantuan tidak jelas, saya mau melaporkan keluhan² dana yang tidak masuk, mala disuruh pilih opsi metode top up. Udah itu saya mau pilih opsi Dana, karena saya transaksi dari aplikasi dana saya sendiri ke gopay saya sndiri mala tidak ada opsi aplikasi dana 👎🏾👎🏾👎🏾",1,gopay,pusat bantu jelas lapor keluh masuk mala suruh pilih opsi metode pilih opsi transaksi sendiri sndiri mala opsi
cepat,5,gopay,cepat
sangat buruk saya tidak bisa melakukan transaksi karena keluar peringatan ada transaksi tidak wajar aku tidak tahu tapi ini membuat saya kesal saya sudah mengisi 300 rb tetapi tidak bisa di gunakan menyebalkan,1,gopay,sangat buruk laku transaksi keluar ingat transaksi wajar tahu buat kesal isi guna sebal
gopay maling aku to up 150000 tpi blm ada msuk padahal nomornya btul,1,gopay,maling masuk nomor btul
"Topup emoney 50 rb kaga masuk; uda update saldo di Indo, Alfa dan ATM tetep ga ada saldo tertunda. Admin bilang uda direfund tapi 0 rupiah. Ga ada sama sekali. Selama ulasan ini ada artinya belum ada refund.",1,gopay,emoney kaga masuk update saldo indo alfa saldo tunda admin bilang direfund rupiah sama sekali lama ulas arti refund
"percepat lah saya gabisa transaksi...gimana ini dri pagi sampai sekarang belum bisa transaksi, d emaiil tanpa balasan, sudah d email tetep ga ada hasil 3x24 jam nunggu",1,gopay,cepat transaksigimana pagi sekarang transaksi emaiil balas email hasil tunggu
Hati-hati terkena double admin jika mengisi lewat e-wallet lain contohnya kita mengisi gopay dari dana dikenakan admin tapi setelah uang masuk ke gopay malah dipotong lagi dari gopaynya. btw sekarang jarang ya promo di gopay walaupun sudah akhir tahun,3,gopay,hatihati kena double admin isi lewat ewallet contoh isi kena admin uang masuk malah potong gopaynya sekarang jarang promo walaupun akhir tahun
mantep aplikasinya,5,gopay,mantep aplikasi
mantap..aplikasi terbaik,5,gopay,mantapaplikasi baik
"Kenapa pengajuan pinjaman saya di tolak pdahal semua pinjaman sebelumnya sudah di lunasin semua, limit naik tp di tolak",5,gopay,aju pinjam tolak pdahal semua pinjam belum lunas semua limit naik tolak
